dt,gender,age,chainname,number_visit
2015-07-18,female,55_64,Chick-fil-A,211
2015-07-18,female,45_54,Chick-fil-A,443
2015-07-18,male,45_54,Popeyes Louisiana Kitchen,153
2015-07-18,female,25_34,Chick-fil-A,1042
2015-07-18,male,25_34,Chick-fil-A,1136
2015-07-18,male,18_24,Chick-fil-A,164
2015-07-19,male,25_34,Popeyes Louisiana Kitchen,268
2015-07-19,male,Under_18,Popeyes Louisiana Kitchen,1
2015-07-19,female,55_64,Chick-fil-A,68
2015-07-19,male,35_44,Chick-fil-A,295
2015-07-19,female,35_44,Popeyes Louisiana Kitchen,149
2015-07-19,female,Under_18,Chick-fil-A,4
2015-07-19,female,Under_18,Popeyes Louisiana Kitchen,1
2015-07-19,male,65_plus,Popeyes Louisiana Kitchen,14
2015-07-19,male,55_64,Popeyes Louisiana Kitchen,43
2015-07-19,male,25_34,Chick-fil-A,348
2015-07-19,female,25_34,Chick-fil-A,307
2015-07-19,female,35_44,Chick-fil-A,207
2015-07-19,male,18_24,Popeyes Louisiana Kitchen,21
2015-07-19,female,18_24,Popeyes Louisiana Kitchen,42
2015-07-19,male,18_24,Chick-fil-A,51
2015-07-19,male,55_64,Chick-fil-A,72
2015-07-19,male,45_54,Chick-fil-A,196
2015-07-19,male,65_plus,Chick-fil-A,25
2015-07-19,female,18_24,Chick-fil-A,62
2015-07-19,male,45_54,Popeyes Louisiana Kitchen,131
